나이,성별,측정항목,평균,표준편차,샘플수
72,M,flexibility,-0.0433244632750491,0.9704915007828281,511
72,M,strength,0.022479616052837575,0.7255230690714728,511
73,F,endurance,-0.04764621940123456,1.011527423367236,328
73,F,flexibility,-0.027480620564417184,0.9860662132810165,328
73,F,strength,0.04698014696951221,0.7671620110555785,328
73,M,endurance,0.08464879045454544,0.8890394569583396,377
73,M,flexibility,-0.11097345957372656,0.9651422287215595,377
73,M,strength,-0.013263962748010602,0.7470547707143009,377
74,F,endurance,0.0279427871152648,0.936411356966236,321
74,F,flexibility,-0.04773109739252336,1.0044248038268462,321
74,F,strength,0.031145494031152635,0.7860341958557693,321
74,M,endurance,0.00424057895721927,1.0070001143210807,377
74,M,flexibility,-0.14287847191223405,1.130903432658453,377
74,M,strength,-0.0596687176127321,0.746035776538847,377
75,F,endurance,0.023563047154121865,0.9769717850230054,283
