나이,성별,측정항목,평균,표준편차,최소값,최대값,샘플수
48,F,sit_up,23.442307692307693,11.440234231693777,0.0,54.0,52
48,F,vo2max,115.43333333333334,19.30639224736707,78.0,158.0,30
48,M,grip_right,25.375,3.259803029244817,15.5,36.7,96
48,M,shuttle_run,39.03928571428571,3.896754517184238,28.5,46.4,28
48,M,sit_up,38.87234042553192,10.628865184424477,5.0,59.0,94
48,M,vo2max,114.0,20.081316173479745,57.0,162.0,55
49,F,grip_right,22.19846153846154,4.148210921126583,14.7,40.7,65
49,F,shuttle_run,29.684615384615384,2.797274314353812,24.1,34.5,13
49,F,sit_up,20.490909090909092,11.065248783454017,0.0,51.0,55
49,F,vo2max,114.16129032258064,17.389837595932377,76.0,150.0,31
49,M,grip_right,24.742307692307694,3.6766910317644235,15.5,33.1,78
49,M,shuttle_run,37.02272727272727,2.949888104121888,32.1,43.9,22
49,M,sit_up,34.47142857142857,10.375167438595003,7.0,60.0,70
49,M,vo2max,110.11627906976744,20.114208792513747,69.0,147.0,43
50,F,grip_right,23.608974358974358,3.467181418147453,13.4,33.5,78
50,F,shuttle_run,31.034374999999997,3.525081502146325,26.3,37.6,32
50,F,sit_up,22.333333333333332,10.115993936995679,0.0,44.0,75
50,F,vo2max,113.72,16.105175151691665,84.0,140.0,25
50,M,grip_right,25.329670329670325,2.696643778456411,16.6,31.3,91
50,M,shuttle_run,36.672000000000004,3.4573014524818833,30.7,43.7,25
50,M,sit_up,35.30337078651685,9.91143106626937,0.0,59.0,89
50,M,vo2max,110.38775510204081,19.43881032724934,59.0,185.0,49
51,F,grip_right,23.06153846153846,3.5105507183565727,14.6,31.4,65
51,F,shuttle_run,29.523076923076925,3.0466248664584676,23.1,33.0,13
51,F,sit_up,18.919354838709676,11.033924419785263,0.0,39.0,62
51,F,vo2max,114.87096774193549,23.770769073919162,62.0,158.0,31
51,M,grip_right,25.40238095238095,3.4605165778618825,15.5,34.1,84
51,M,shuttle_run,36.05,3.30844374290995,28.8,41.8,26
51,M,sit_up,33.734177215189874,9.482384289531087,3.0,53.0,79
51,M,vo2max,113.52631578947368,21.186095442855866,73.0,163.0,38
52,F,grip_right,22.297183098591546,4.803093402946121,13.9,36.7,71
52,F,shuttle_run,28.28235294117647,2.5375271658934135,23.6,33.2,17
